,group1,group2,meandiff,p-adj,lower,upper,reject
0,F1,F1_diff2,-507.3525,0.001,-553.4237,-461.2814,True
1,F1,F2,541.3207,0.001,495.2495,587.3918,True
2,F1,F2_diff2,-473.3003,0.001,-519.3715,-427.2292,True
3,F1,F3,1901.8295,0.001,1855.7583,1947.9006,True
4,F1,F3_diff2,-438.4433,0.001,-484.5144,-392.3721,True
5,F1,F4,3089.5975,0.001,3043.5264,3135.6687,True
6,F1,F4_diff2,-401.8783,0.001,-447.9495,-355.8072,True
7,F1,F5,4054.0216,0.001,4007.9505,4100.0928,True
8,F1,F5_diff2,-378.7628,0.001,-424.8339,-332.6916,True
9,F1,disp(F4-F3),604.041,0.001,557.9698,650.1121,True
10,F1,disp(F5-F1),3470.2946,0.001,3424.2234,3516.3657,True
11,F1,disp(F5-F3),1568.4651,0.001,1522.3939,1614.5362,True
12,F1,disp(F5-F4),380.697,0.001,334.6259,426.7682,True
13,F1_diff2,F2,1048.6732,0.001,1002.6021,1094.7444,True
14,F1_diff2,F2_diff2,34.0522,0.4271,-12.019,80.1233,False
15,F1_diff2,F3,2409.182,0.001,2363.1109,2455.2532,True
16,F1_diff2,F3_diff2,68.9092,0.001,22.8381,114.9804,True
17,F1_diff2,F4,3596.95,0.001,3550.8789,3643.0212,True
18,F1_diff2,F4_diff2,105.4742,0.001,59.4031,151.5454,True
19,F1_diff2,F5,4561.3742,0.001,4515.303,4607.4453,True
20,F1_diff2,F5_diff2,128.5898,0.001,82.5186,174.6609,True
21,F1_diff2,disp(F4-F3),1111.3935,0.001,1065.3223,1157.4646,True
22,F1_diff2,disp(F5-F1),3977.6471,0.001,3931.5759,4023.7182,True
23,F1_diff2,disp(F5-F3),2075.8176,0.001,2029.7464,2121.8887,True
24,F1_diff2,disp(F5-F4),888.0496,0.001,841.9784,934.1207,True
25,F2,F2_diff2,-1014.621,0.001,-1060.6922,-968.5499,True
26,F2,F3,1360.5088,0.001,1314.4376,1406.5799,True
27,F2,F3_diff2,-979.764,0.001,-1025.8351,-933.6928,True
28,F2,F4,2548.2768,0.001,2502.2057,2594.348,True
29,F2,F4_diff2,-943.199,0.001,-989.2701,-897.1278,True
30,F2,F5,3512.7009,0.001,3466.6298,3558.7721,True
31,F2,F5_diff2,-920.0835,0.001,-966.1546,-874.0123,True
32,F2,disp(F4-F3),62.7203,0.001,16.6491,108.7914,True
33,F2,disp(F5-F1),2928.9739,0.001,2882.9027,2975.045,True
34,F2,disp(F5-F3),1027.1444,0.001,981.0732,1073.2155,True
35,F2,disp(F5-F4),-160.6237,0.001,-206.6948,-114.5525,True
36,F2_diff2,F3,2375.1298,0.001,2329.0587,2421.201,True
37,F2_diff2,F3_diff2,34.8571,0.3848,-11.2141,80.9282,False
38,F2_diff2,F4,3562.8979,0.001,3516.8267,3608.969,True
39,F2_diff2,F4_diff2,71.422,0.001,25.3509,117.4932,True
40,F2_diff2,F5,4527.322,0.001,4481.2508,4573.3931,True
41,F2_diff2,F5_diff2,94.5376,0.001,48.4664,140.6087,True
42,F2_diff2,disp(F4-F3),1077.3413,0.001,1031.2701,1123.4124,True
43,F2_diff2,disp(F5-F1),3943.5949,0.001,3897.5237,3989.666,True
44,F2_diff2,disp(F5-F3),2041.7654,0.001,1995.6943,2087.8366,True
45,F2_diff2,disp(F5-F4),853.9974,0.001,807.9262,900.0685,True
46,F3,F3_diff2,-2340.2728,0.001,-2386.3439,-2294.2016,True
47,F3,F4,1187.768,0.001,1141.6969,1233.8392,True
48,F3,F4_diff2,-2303.7078,0.001,-2349.7789,-2257.6366,True
49,F3,F5,2152.1921,0.001,2106.121,2198.2633,True
50,F3,F5_diff2,-2280.5923,0.001,-2326.6634,-2234.5211,True
51,F3,disp(F4-F3),-1297.7885,0.001,-1343.8597,-1251.7174,True
52,F3,disp(F5-F1),1568.4651,0.001,1522.3939,1614.5362,True
53,F3,disp(F5-F3),-333.3644,0.001,-379.4356,-287.2933,True
54,F3,disp(F5-F4),-1521.1324,0.001,-1567.2036,-1475.0613,True
55,F3_diff2,F4,3528.0408,0.001,3481.9696,3574.1119,True
56,F3_diff2,F4_diff2,36.565,0.3017,-9.5062,82.6361,False
57,F3_diff2,F5,4492.4649,0.001,4446.3938,4538.5361,True
58,F3_diff2,F5_diff2,59.6805,0.0012,13.6094,105.7517,True
59,F3_diff2,disp(F4-F3),1042.4842,0.001,996.4131,1088.5554,True
60,F3_diff2,disp(F5-F1),3908.7378,0.001,3862.6667,3954.809,True
61,F3_diff2,disp(F5-F3),2006.9083,0.001,1960.8372,2052.9795,True
62,F3_diff2,disp(F5-F4),819.1403,0.001,773.0692,865.2115,True
63,F4,F4_diff2,-3491.4758,0.001,-3537.547,-3445.4047,True
64,F4,F5,964.4241,0.001,918.353,1010.4953,True
65,F4,F5_diff2,-3468.3603,0.001,-3514.4314,-3422.2891,True
66,F4,disp(F4-F3),-2485.5566,0.001,-2531.6277,-2439.4854,True
67,F4,disp(F5-F1),380.697,0.001,334.6259,426.7682,True
68,F4,disp(F5-F3),-1521.1324,0.001,-1567.2036,-1475.0613,True
69,F4,disp(F5-F4),-2708.9005,0.001,-2754.9716,-2662.8293,True
70,F4_diff2,F5,4455.8999,0.001,4409.8288,4501.9711,True
71,F4_diff2,F5_diff2,23.1155,0.9,-22.9556,69.1867,False
72,F4_diff2,disp(F4-F3),1005.9193,0.001,959.8481,1051.9904,True
73,F4_diff2,disp(F5-F1),3872.1729,0.001,3826.1017,3918.244,True
74,F4_diff2,disp(F5-F3),1970.3434,0.001,1924.2722,2016.4145,True
75,F4_diff2,disp(F5-F4),782.5753,0.001,736.5042,828.6465,True
76,F5,F5_diff2,-4432.7844,0.001,-4478.8556,-4386.7133,True
77,F5,disp(F4-F3),-3449.9807,0.001,-3496.0518,-3403.9095,True
78,F5,disp(F5-F1),-583.7271,0.001,-629.7982,-537.6559,True
79,F5,disp(F5-F3),-2485.5566,0.001,-2531.6277,-2439.4854,True
80,F5,disp(F5-F4),-3673.3246,0.001,-3719.3957,-3627.2534,True
81,F5_diff2,disp(F4-F3),982.8037,0.001,936.7326,1028.8749,True
82,F5_diff2,disp(F5-F1),3849.0573,0.001,3802.9862,3895.1285,True
83,F5_diff2,disp(F5-F3),1947.2278,0.001,1901.1567,1993.299,True
84,F5_diff2,disp(F5-F4),759.4598,0.001,713.3887,805.531,True
85,disp(F4-F3),disp(F5-F1),2866.2536,0.001,2820.1824,2912.3247,True
86,disp(F4-F3),disp(F5-F3),964.4241,0.001,918.353,1010.4953,True
87,disp(F4-F3),disp(F5-F4),-223.3439,0.001,-269.4151,-177.2728,True
88,disp(F5-F1),disp(F5-F3),-1901.8295,0.001,-1947.9006,-1855.7583,True
89,disp(F5-F1),disp(F5-F4),-3089.5975,0.001,-3135.6687,-3043.5264,True
90,disp(F5-F3),disp(F5-F4),-1187.768,0.001,-1233.8392,-1141.6969,True
