,group1,group2,meandiff,p-adj,lower,upper,reject
0,F1,F2,1289.513,0.001,1273.8261,1305.2,True
1,F1,F2'',-85.5156,0.001,-101.2026,-69.8287,True
2,F1,F3,2415.7242,0.001,2400.0372,2431.4112,True
3,F1,F3'',-86.0052,0.001,-101.6922,-70.3182,True
4,F1,F4,3406.7567,0.001,3391.0697,3422.4437,True
5,F1,F4'',-91.1512,0.001,-106.8382,-75.4643,True
6,F1,F43,777.0133,0.001,761.3263,792.7003,True
7,F1,F5,4426.5829,0.001,4410.8959,4442.2699,True
8,F1,F5'',-31.3895,0.001,-47.0765,-15.7025,True
9,F1,F51,4038.8723,0.001,4023.1853,4054.5592,True
10,F1,F53,1796.8395,0.001,1781.1525,1812.5265,True
11,F1,F54,805.807,0.001,790.12,821.4939,True
12,F2,F2'',-1375.0287,0.001,-1393.1424,-1356.9149,True
13,F2,F3,1126.2111,0.001,1108.0974,1144.3249,True
14,F2,F3'',-1375.5182,0.001,-1393.632,-1357.4045,True
15,F2,F4,2117.2437,0.001,2099.1299,2135.3574,True
16,F2,F4'',-1380.6643,0.001,-1398.778,-1362.5505,True
17,F2,F43,-512.4997,0.001,-530.6135,-494.386,True
18,F2,F5,3137.0698,0.001,3118.9561,3155.1836,True
19,F2,F5'',-1320.9025,0.001,-1339.0163,-1302.7888,True
20,F2,F51,2749.3592,0.001,2731.2455,2767.473,True
21,F2,F53,507.3265,0.001,489.2127,525.4402,True
22,F2,F54,-483.7061,0.001,-501.8198,-465.5923,True
23,F2'',F3,2501.2398,0.001,2483.126,2519.3536,True
24,F2'',F3'',-0.4896,0.9,-18.6033,17.6242,False
25,F2'',F4,3492.2723,0.001,3474.1586,3510.3861,True
26,F2'',F4'',-5.6356,0.9,-23.7494,12.4782,False
27,F2'',F43,862.5289,0.001,844.4152,880.6427,True
28,F2'',F5,4512.0985,0.001,4493.9847,4530.2123,True
29,F2'',F5'',54.1261,0.001,36.0124,72.2399,True
30,F2'',F51,4124.3879,0.001,4106.2741,4142.5016,True
31,F2'',F53,1882.3551,0.001,1864.2414,1900.4689,True
32,F2'',F54,891.3226,0.001,873.2088,909.4364,True
33,F3,F3'',-2501.7294,0.001,-2519.8431,-2483.6156,True
34,F3,F4,991.0325,0.001,972.9188,1009.1463,True
35,F3,F4'',-2506.8754,0.001,-2524.9892,-2488.7616,True
36,F3,F43,-1638.7109,0.001,-1656.8246,-1620.5971,True
37,F3,F5,2010.8587,0.001,1992.7449,2028.9725,True
38,F3,F5'',-2447.1137,0.001,-2465.2274,-2428.9999,True
39,F3,F51,1623.1481,0.001,1605.0343,1641.2618,True
40,F3,F53,-618.8847,0.001,-636.9984,-600.7709,True
41,F3,F54,-1609.9172,0.001,-1628.031,-1591.8034,True
42,F3'',F4,3492.7619,0.001,3474.6481,3510.8757,True
43,F3'',F4'',-5.146,0.9,-23.2598,12.9677,False
44,F3'',F43,863.0185,0.001,844.9048,881.1323,True
45,F3'',F5,4512.5881,0.001,4494.4743,4530.7018,True
46,F3'',F5'',54.6157,0.001,36.5019,72.7295,True
47,F3'',F51,4124.8775,0.001,4106.7637,4142.9912,True
48,F3'',F53,1882.8447,0.001,1864.7309,1900.9585,True
49,F3'',F54,891.8122,0.001,873.6984,909.9259,True
50,F4,F4'',-3497.9079,0.001,-3516.0217,-3479.7942,True
51,F4,F43,-2629.7434,0.001,-2647.8571,-2611.6296,True
52,F4,F5,1019.8262,0.001,1001.7124,1037.9399,True
53,F4,F5'',-3438.1462,0.001,-3456.26,-3420.0324,True
54,F4,F51,632.1156,0.001,614.0018,650.2293,True
55,F4,F53,-1609.9172,0.001,-1628.031,-1591.8034,True
56,F4,F54,-2600.9497,0.001,-2619.0635,-2582.836,True
57,F4'',F43,868.1645,0.001,850.0508,886.2783,True
58,F4'',F5,4517.7341,0.001,4499.6203,4535.8479,True
59,F4'',F5'',59.7617,0.001,41.648,77.8755,True
60,F4'',F51,4130.0235,0.001,4111.9097,4148.1372,True
61,F4'',F53,1887.9907,0.001,1869.877,1906.1045,True
62,F4'',F54,896.9582,0.001,878.8444,915.072,True
63,F43,F5,3649.5696,0.001,3631.4558,3667.6833,True
64,F43,F5'',-808.4028,0.001,-826.5166,-790.2891,True
65,F43,F51,3261.8589,0.001,3243.7452,3279.9727,True
66,F43,F53,1019.8262,0.001,1001.7124,1037.9399,True
67,F43,F54,28.7937,0.001,10.6799,46.9074,True
68,F5,F5'',-4457.9724,0.001,-4476.0861,-4439.8586,True
69,F5,F51,-387.7106,0.001,-405.8244,-369.5969,True
70,F5,F53,-2629.7434,0.001,-2647.8571,-2611.6296,True
71,F5,F54,-3620.7759,0.001,-3638.8897,-3602.6621,True
72,F5'',F51,4070.2618,0.001,4052.148,4088.3755,True
73,F5'',F53,1828.229,0.001,1810.1152,1846.3428,True
74,F5'',F54,837.1965,0.001,819.0827,855.3102,True
75,F51,F53,-2242.0328,0.001,-2260.1465,-2223.919,True
76,F51,F54,-3233.0653,0.001,-3251.179,-3214.9515,True
77,F53,F54,-991.0325,0.001,-1009.1463,-972.9188,True
